func,score,rocauc
1,0.43,0.59
2,0.4,0.57
3,0.39,0.64
4,0.43,0.59
5,0.36,0.52
6,0.41,0.57
7,0.47,0.49
8,0.49,0.59
9,0.36,0.67
1-2,0.44,0.65
1-3,0.47,0.64
1-4,0.43,0.59
1-5,0.48,0.63
1-6,0.44,0.65
1-7,0.41,0.56
1-8,0.49,0.65
1-9,0.43,0.54
2-3,0.4,0.54
2-4,0.44,0.65
2-5,0.39,0.58
2-6,0.43,0.57
2-7,0.39,0.56
2-8,0.37,0.63
2-9,0.37,0.49
3-4,0.47,0.64
3-5,0.35,0.5
3-6,0.44,0.56
3-7,0.4,0.54
3-8,0.43,0.65
3-9,0.36,0.68
4-5,0.48,0.63
4-6,0.44,0.65
4-7,0.41,0.56
4-8,0.49,0.65
4-9,0.43,0.54
5-6,0.4,0.56
5-7,0.36,0.51
5-8,0.36,0.59
5-9,0.35,0.48
6-7,0.4,0.57
6-8,0.41,0.63
6-9,0.44,0.51
7-8,0.51,0.59
7-9,0.49,0.52
8-9,0.52,0.67
1-2-3,0.45,0.65
1-2-4,0.47,0.65
1-2-5,0.45,0.65
1-2-6,0.43,0.67
1-2-7,0.44,0.65
1-2-8,0.45,0.67
1-2-9,0.45,0.61
1-3-4,0.48,0.64
1-3-5,0.48,0.62
1-3-6,0.48,0.66
1-3-7,0.47,0.63
1-3-8,0.51,0.67
1-3-9,0.39,0.6
1-4-5,0.48,0.63
1-4-6,0.45,0.65
1-4-7,0.48,0.54
1-4-8,0.51,0.65
1-4-9,0.45,0.56
1-5-6,0.44,0.66
1-5-7,0.47,0.63
1-5-8,0.44,0.65
1-5-9,0.43,0.57
1-6-7,0.45,0.68
1-6-8,0.47,0.67
1-6-9,0.43,0.62
1-7-8,0.48,0.65
1-7-9,0.44,0.56
1-8-9,0.45,0.62
2-3-4,0.45,0.65
2-3-5,0.43,0.57
2-3-6,0.44,0.56
2-3-7,0.41,0.54
2-3-8,0.41,0.59
2-3-9,0.39,0.5
2-4-5,0.45,0.65
2-4-6,0.43,0.67
2-4-7,0.44,0.65
2-4-8,0.45,0.67
2-4-9,0.45,0.61
2-5-6,0.49,0.56
2-5-7,0.37,0.47
2-5-8,0.41,0.63
2-5-9,0.39,0.51
2-6-7,0.41,0.58
2-6-8,0.4,0.63
2-6-9,0.41,0.54
2-7-8,0.45,0.62
2-7-9,0.43,0.52
2-8-9,0.37,0.51
3-4-5,0.48,0.62
3-4-6,0.48,0.66
3-4-7,0.47,0.63
3-4-8,0.51,0.67
3-4-9,0.39,0.6
3-5-6,0.43,0.56
3-5-7,0.39,0.49
3-5-8,0.35,0.55
3-5-9,0.36,0.45
3-6-7,0.44,0.55
3-6-8,0.44,0.61
3-6-9,0.44,0.52
3-7-8,0.49,0.62
3-7-9,0.39,0.56
3-8-9,0.4,0.69
4-5-6,0.44,0.66
4-5-7,0.47,0.63
4-5-8,0.44,0.65
4-5-9,0.43,0.57
4-6-7,0.45,0.68
4-6-8,0.47,0.67
4-6-9,0.43,0.62
4-7-8,0.48,0.65
4-7-9,0.44,0.56
4-8-9,0.45,0.62
5-6-7,0.45,0.59
5-6-8,0.45,0.6
5-6-9,0.4,0.53
5-7-8,0.44,0.55
5-7-9,0.41,0.49
5-8-9,0.35,0.53
6-7-8,0.4,0.63
6-7-9,0.45,0.53
6-8-9,0.41,0.53
7-8-9,0.52,0.6
1-2-3-4,0.45,0.65
1-2-3-5,0.49,0.64
1-2-3-6,0.45,0.65
1-2-3-7,0.45,0.64
1-2-3-8,0.51,0.66
1-2-3-9,0.47,0.62
1-2-4-5,0.47,0.63
1-2-4-6,0.44,0.66
1-2-4-7,0.43,0.66
1-2-4-8,0.47,0.67
1-2-4-9,0.44,0.62
1-2-5-6,0.52,0.65
1-2-5-7,0.45,0.61
1-2-5-8,0.47,0.64
1-2-5-9,0.44,0.59
1-2-6-7,0.49,0.67
1-2-6-8,0.47,0.68
1-2-6-9,0.43,0.63
1-2-7-8,0.45,0.69
1-2-7-9,0.45,0.62
1-2-8-9,0.45,0.63
1-3-4-5,0.48,0.61
1-3-4-6,0.48,0.66
1-3-4-7,0.45,0.6
1-3-4-8,0.49,0.67
1-3-4-9,0.43,0.6
1-3-5-6,0.48,0.66
1-3-5-7,0.49,0.61
1-3-5-8,0.47,0.62
1-3-5-9,0.43,0.59
1-3-6-7,0.44,0.68
1-3-6-8,0.49,0.67
1-3-6-9,0.44,0.63
1-3-7-8,0.45,0.69
1-3-7-9,0.41,0.59
1-3-8-9,0.44,0.64
1-4-5-6,0.44,0.65
1-4-5-7,0.47,0.63
1-4-5-8,0.47,0.65
1-4-5-9,0.43,0.59
1-4-6-7,0.49,0.67
1-4-6-8,0.44,0.67
1-4-6-9,0.45,0.63
1-4-7-8,0.49,0.62
1-4-7-9,0.45,0.53
1-4-8-9,0.49,0.63
1-5-6-7,0.47,0.68
1-5-6-8,0.45,0.67
1-5-6-9,0.43,0.62
1-5-7-8,0.48,0.66
1-5-7-9,0.45,0.59
1-5-8-9,0.37,0.55
1-6-7-8,0.44,0.69
1-6-7-9,0.44,0.62
1-6-8-9,0.45,0.62
1-7-8-9,0.48,0.61
2-3-4-5,0.49,0.64
2-3-4-6,0.45,0.65
2-3-4-7,0.45,0.64
2-3-4-8,0.51,0.66
2-3-4-9,0.47,0.62
2-3-5-6,0.49,0.54
2-3-5-7,0.37,0.46
2-3-5-8,0.43,0.6
2-3-5-9,0.43,0.5
2-3-6-7,0.44,0.56
2-3-6-8,0.41,0.61
2-3-6-9,0.41,0.53
2-3-7-8,0.43,0.6
2-3-7-9,0.45,0.51
2-3-8-9,0.45,0.53
2-4-5-6,0.52,0.65
2-4-5-7,0.45,0.61
2-4-5-8,0.47,0.64
2-4-5-9,0.44,0.59
2-4-6-7,0.49,0.67
2-4-6-8,0.47,0.68
2-4-6-9,0.43,0.63
2-4-7-8,0.45,0.69
2-4-7-9,0.45,0.62
2-4-8-9,0.45,0.63
2-5-6-7,0.51,0.55
2-5-6-8,0.51,0.61
2-5-6-9,0.45,0.53
2-5-7-8,0.44,0.58
2-5-7-9,0.44,0.52
2-5-8-9,0.36,0.55
2-6-7-8,0.45,0.62
2-6-7-9,0.43,0.54
2-6-8-9,0.41,0.53
2-7-8-9,0.43,0.52
3-4-5-6,0.48,0.66
3-4-5-7,0.49,0.61
3-4-5-8,0.47,0.62
3-4-5-9,0.43,0.59
3-4-6-7,0.44,0.68
3-4-6-8,0.49,0.67
3-4-6-9,0.44,0.63
3-4-7-8,0.45,0.69
3-4-7-9,0.41,0.59
3-4-8-9,0.44,0.64
3-5-6-7,0.44,0.55
3-5-6-8,0.44,0.6
3-5-6-9,0.43,0.52
3-5-7-8,0.47,0.51
3-5-7-9,0.43,0.48
3-5-8-9,0.36,0.5
3-6-7-8,0.45,0.59
3-6-7-9,0.47,0.53
3-6-8-9,0.44,0.53
3-7-8-9,0.45,0.58
4-5-6-7,0.47,0.68
4-5-6-8,0.45,0.67
4-5-6-9,0.43,0.62
4-5-7-8,0.48,0.66
4-5-7-9,0.45,0.59
4-5-8-9,0.37,0.55
4-6-7-8,0.44,0.69
4-6-7-9,0.44,0.62
4-6-8-9,0.45,0.62
4-7-8-9,0.48,0.61
5-6-7-8,0.44,0.6
5-6-7-9,0.45,0.54
5-6-8-9,0.4,0.54
5-7-8-9,0.37,0.52
6-7-8-9,0.45,0.54
1-2-3-4-5,0.48,0.63
1-2-3-4-6,0.44,0.66
1-2-3-4-7,0.48,0.65
1-2-3-4-8,0.49,0.66
1-2-3-4-9,0.47,0.62
1-2-3-5-6,0.51,0.63
1-2-3-5-7,0.48,0.6
1-2-3-5-8,0.47,0.62
1-2-3-5-9,0.47,0.61
1-2-3-6-7,0.47,0.67
1-2-3-6-8,0.49,0.66
1-2-3-6-9,0.41,0.63
1-2-3-7-8,0.43,0.67
1-2-3-7-9,0.48,0.62
1-2-3-8-9,0.44,0.63
1-2-4-5-6,0.52,0.66
1-2-4-5-7,0.43,0.61
1-2-4-5-8,0.47,0.67
1-2-4-5-9,0.39,0.56
1-2-4-6-7,0.51,0.67
1-2-4-6-8,0.47,0.68
1-2-4-6-9,0.44,0.62
1-2-4-7-8,0.48,0.68
1-2-4-7-9,0.44,0.63
1-2-4-8-9,0.44,0.6
1-2-5-6-7,0.51,0.66
1-2-5-6-8,0.52,0.66
1-2-5-6-9,0.45,0.62
1-2-5-7-8,0.48,0.65
1-2-5-7-9,0.43,0.59
1-2-5-8-9,0.44,0.61
1-2-6-7-8,0.53,0.69
1-2-6-7-9,0.45,0.63
1-2-6-8-9,0.39,0.65
1-2-7-8-9,0.45,0.61
1-3-4-5-6,0.48,0.66
1-3-4-5-7,0.48,0.62
1-3-4-5-8,0.47,0.62
1-3-4-5-9,0.44,0.59
1-3-4-6-7,0.47,0.67
1-3-4-6-8,0.49,0.68
1-3-4-6-9,0.47,0.63
1-3-4-7-8,0.53,0.67
1-3-4-7-9,0.41,0.58
1-3-4-8-9,0.44,0.64
1-3-5-6-7,0.49,0.67
1-3-5-6-8,0.48,0.65
1-3-5-6-9,0.47,0.63
1-3-5-7-8,0.48,0.62
1-3-5-7-9,0.45,0.6
1-3-5-8-9,0.41,0.58
1-3-6-7-8,0.45,0.69
1-3-6-7-9,0.48,0.63
1-3-6-8-9,0.47,0.63
1-3-7-8-9,0.45,0.65
1-4-5-6-7,0.47,0.66
1-4-5-6-8,0.48,0.69
1-4-5-6-9,0.43,0.62
1-4-5-7-8,0.51,0.68
1-4-5-7-9,0.41,0.59
1-4-5-8-9,0.44,0.58
1-4-6-7-8,0.55,0.7
1-4-6-7-9,0.45,0.63
1-4-6-8-9,0.43,0.62
1-4-7-8-9,0.53,0.61
1-5-6-7-8,0.53,0.7
1-5-6-7-9,0.47,0.63
1-5-6-8-9,0.45,0.63
1-5-7-8-9,0.41,0.59
1-6-7-8-9,0.47,0.62
2-3-4-5-6,0.51,0.63
2-3-4-5-7,0.48,0.6
2-3-4-5-8,0.47,0.62
2-3-4-5-9,0.47,0.61
2-3-4-6-7,0.47,0.67
2-3-4-6-8,0.49,0.66
2-3-4-6-9,0.41,0.63
2-3-4-7-8,0.43,0.67
2-3-4-7-9,0.48,0.62
2-3-4-8-9,0.44,0.63
2-3-5-6-7,0.51,0.55
2-3-5-6-8,0.49,0.6
2-3-5-6-9,0.45,0.52
2-3-5-7-8,0.47,0.53
2-3-5-7-9,0.44,0.51
2-3-5-8-9,0.37,0.53
2-3-6-7-8,0.44,0.6
2-3-6-7-9,0.43,0.52
2-3-6-8-9,0.45,0.54
2-3-7-8-9,0.44,0.53
2-4-5-6-7,0.51,0.66
2-4-5-6-8,0.52,0.66
2-4-5-6-9,0.45,0.62
2-4-5-7-8,0.48,0.65
2-4-5-7-9,0.43,0.59
2-4-5-8-9,0.44,0.61
2-4-6-7-8,0.53,0.69
2-4-6-7-9,0.45,0.63
2-4-6-8-9,0.39,0.65
2-4-7-8-9,0.45,0.61
2-5-6-7-8,0.47,0.58
2-5-6-7-9,0.44,0.53
2-5-6-8-9,0.47,0.56
2-5-7-8-9,0.45,0.52
2-6-7-8-9,0.44,0.56
3-4-5-6-7,0.49,0.67
3-4-5-6-8,0.48,0.65
3-4-5-6-9,0.47,0.63
3-4-5-7-8,0.48,0.62
3-4-5-7-9,0.45,0.6
3-4-5-8-9,0.41,0.58
3-4-6-7-8,0.45,0.69
3-4-6-7-9,0.48,0.63
3-4-6-8-9,0.47,0.63
3-4-7-8-9,0.45,0.65
3-5-6-7-8,0.43,0.59
3-5-6-7-9,0.47,0.53
3-5-6-8-9,0.43,0.52
3-5-7-8-9,0.4,0.5
3-6-7-8-9,0.48,0.53
4-5-6-7-8,0.53,0.7
4-5-6-7-9,0.47,0.63
4-5-6-8-9,0.45,0.63
4-5-7-8-9,0.41,0.59
4-6-7-8-9,0.47,0.62
5-6-7-8-9,0.48,0.55
1-2-3-4-5-6,0.51,0.66
1-2-3-4-5-7,0.44,0.62
1-2-3-4-5-8,0.45,0.64
1-2-3-4-5-9,0.43,0.57
1-2-3-4-6-7,0.48,0.67
1-2-3-4-6-8,0.49,0.68
1-2-3-4-6-9,0.45,0.63
1-2-3-4-7-8,0.47,0.67
1-2-3-4-7-9,0.48,0.63
1-2-3-4-8-9,0.45,0.63
1-2-3-5-6-7,0.51,0.65
1-2-3-5-6-8,0.53,0.65
1-2-3-5-6-9,0.49,0.62
1-2-3-5-7-8,0.48,0.63
1-2-3-5-7-9,0.47,0.6
1-2-3-5-8-9,0.47,0.6
1-2-3-6-7-8,0.51,0.69
1-2-3-6-7-9,0.43,0.63
1-2-3-6-8-9,0.45,0.63
1-2-3-7-8-9,0.48,0.61
1-2-4-5-6-7,0.53,0.66
1-2-4-5-6-8,0.56,0.68
1-2-4-5-6-9,0.47,0.61
1-2-4-5-7-8,0.51,0.68
1-2-4-5-7-9,0.41,0.58
1-2-4-5-8-9,0.43,0.56
1-2-4-6-7-8,0.53,0.7
1-2-4-6-7-9,0.48,0.65
1-2-4-6-8-9,0.47,0.66
1-2-4-7-8-9,0.44,0.63
1-2-5-6-7-8,0.53,0.69
1-2-5-6-7-9,0.48,0.61
1-2-5-6-8-9,0.45,0.65
1-2-5-7-8-9,0.44,0.6
1-2-6-7-8-9,0.47,0.65
1-3-4-5-6-7,0.47,0.67
1-3-4-5-6-8,0.52,0.66
1-3-4-5-6-9,0.47,0.62
1-3-4-5-7-8,0.49,0.64
1-3-4-5-7-9,0.45,0.59
1-3-4-5-8-9,0.41,0.58
1-3-4-6-7-8,0.48,0.71
1-3-4-6-7-9,0.49,0.64
1-3-4-6-8-9,0.48,0.65
1-3-4-7-8-9,0.49,0.63
1-3-5-6-7-8,0.48,0.68
1-3-5-6-7-9,0.51,0.63
1-3-5-6-8-9,0.48,0.64
1-3-5-7-8-9,0.45,0.59
1-3-6-7-8-9,0.49,0.63
1-4-5-6-7-8,0.52,0.72
1-4-5-6-7-9,0.47,0.62
1-4-5-6-8-9,0.45,0.63
1-4-5-7-8-9,0.47,0.62
1-4-6-7-8-9,0.51,0.63
1-5-6-7-8-9,0.43,0.63
2-3-4-5-6-7,0.51,0.65
2-3-4-5-6-8,0.53,0.65
2-3-4-5-6-9,0.49,0.62
2-3-4-5-7-8,0.48,0.63
2-3-4-5-7-9,0.47,0.6
2-3-4-5-8-9,0.47,0.6
2-3-4-6-7-8,0.51,0.69
2-3-4-6-7-9,0.43,0.63
2-3-4-6-8-9,0.45,0.63
2-3-4-7-8-9,0.48,0.61
2-3-5-6-7-8,0.51,0.58
2-3-5-6-7-9,0.47,0.53
2-3-5-6-8-9,0.47,0.55
2-3-5-7-8-9,0.45,0.51
2-3-6-7-8-9,0.44,0.53
2-4-5-6-7-8,0.53,0.69
2-4-5-6-7-9,0.48,0.61
2-4-5-6-8-9,0.45,0.65
2-4-5-7-8-9,0.44,0.6
2-4-6-7-8-9,0.47,0.65
2-5-6-7-8-9,0.47,0.56
3-4-5-6-7-8,0.48,0.68
3-4-5-6-7-9,0.51,0.63
3-4-5-6-8-9,0.48,0.64
3-4-5-7-8-9,0.45,0.59
3-4-6-7-8-9,0.49,0.63
3-5-6-7-8-9,0.47,0.53
4-5-6-7-8-9,0.43,0.63
1-2-3-4-5-6-7,0.53,0.67
1-2-3-4-5-6-8,0.53,0.67
1-2-3-4-5-6-9,0.47,0.61
1-2-3-4-5-7-8,0.47,0.67
1-2-3-4-5-7-9,0.47,0.6
1-2-3-4-5-8-9,0.45,0.58
1-2-3-4-6-7-8,0.49,0.71
1-2-3-4-6-7-9,0.48,0.66
1-2-3-4-6-8-9,0.44,0.66
1-2-3-4-7-8-9,0.47,0.63
1-2-3-5-6-7-8,0.52,0.67
1-2-3-5-6-7-9,0.48,0.61
1-2-3-5-6-8-9,0.48,0.64
1-2-3-5-7-8-9,0.49,0.61
1-2-3-6-7-8-9,0.48,0.66
1-2-4-5-6-7-8,0.55,0.68
1-2-4-5-6-7-9,0.45,0.63
1-2-4-5-6-8-9,0.47,0.64
1-2-4-5-7-8-9,0.44,0.59
1-2-4-6-7-8-9,0.49,0.66
1-2-5-6-7-8-9,0.49,0.66
1-3-4-5-6-7-8,0.48,0.71
1-3-4-5-6-7-9,0.48,0.62
1-3-4-5-6-8-9,0.44,0.61
1-3-4-5-7-8-9,0.47,0.62
1-3-4-6-7-8-9,0.49,0.65
1-3-5-6-7-8-9,0.49,0.62
1-4-5-6-7-8-9,0.49,0.67
2-3-4-5-6-7-8,0.52,0.67
2-3-4-5-6-7-9,0.48,0.61
2-3-4-5-6-8-9,0.48,0.64
2-3-4-5-7-8-9,0.49,0.61
2-3-4-6-7-8-9,0.48,0.66
2-3-5-6-7-8-9,0.49,0.55
2-4-5-6-7-8-9,0.49,0.66
3-4-5-6-7-8-9,0.49,0.62
1-2-3-4-5-6-7-8,0.53,0.67
1-2-3-4-5-6-7-9,0.48,0.63
1-2-3-4-5-6-8-9,0.51,0.63
1-2-3-4-5-7-8-9,0.44,0.59
1-2-3-4-6-7-8-9,0.49,0.67
1-2-3-5-6-7-8-9,0.49,0.64
1-2-4-5-6-7-8-9,0.56,0.66
1-3-4-5-6-7-8-9,0.49,0.65
2-3-4-5-6-7-8-9,0.49,0.64
1-2-3-4-5-6-7-8-9,0.52,0.66
